"Alue","SDP","PS","KOK","KESK","VIHR","VAS","RKP","KD","PIR","FP","LIBE","SKP","EOP","SKE","AP","KaL","KL","KRIP","LIIKE","SML","VKK","VL","Muut","Vaalipiiri"
"Helsinki",20.9,11.3,26.4,1.6,15.3,11.8,5.1,1.9,0.3,0.1,0.9,0.2,0.2,0.1,0.2,0,0.2,0.2,2.3,0,0.3,0.8,0,"Helsinki"
"Askola",16.4,30.8,18.8,15.1,2.7,3.2,2.9,2.5,0.1,0.1,0.2,0,0.2,0,0,0.1,0,0.2,4.6,0.4,0.4,1.3,0,"Uusimaa"
"Espoo",16.9,12.5,36.8,2.7,10.8,3.6,7.5,3.1,0.1,0.1,1.3,0.1,0.1,0,0,0,0,0.1,2.9,0.2,0.3,0.6,0,"Uusimaa"
"Hanko",28.5,16.6,10.8,1.5,3.4,4.1,27.6,2.8,0.1,0,0.3,0.1,0.2,0,0,0,0,0.2,2.8,0.2,0.3,0.4,0.1,"Uusimaa"
"Vantaa",23.7,20,24.5,3.7,8.1,6,2.6,3.8,0.2,0.1,0.8,0.1,0.1,0,0,0,0,0.2,4.3,0.3,0.4,0.9,0.1,"Uusimaa"
"Hyvinkää",25.2,24.9,21.2,5.8,5.6,5.1,1,3.8,0.1,0.1,0.5,0.1,0.1,0,0,0,0,0.2,4.4,0.4,0.4,1.1,0.1,"Uusimaa"
"Inkoo",11,10.7,11,0.9,3.3,1.9,56,1.9,0,0.1,0.3,0,0.3,0.1,0,0,0.1,0.1,1.3,0.1,0.1,0.7,0.1,"Uusimaa"
"Järvenpää",24.7,21.4,23.3,6,7.3,5.2,1.2,4.2,0.1,0.1,0.7,0.1,0.1,0,0,0,0.1,0.2,4,0.3,0.3,0.8,0.1,"Uusimaa"
"Karkkila",17.6,25.7,15.6,7.9,3.5,19.2,1,3,0,0,0.3,0.1,0.1,0,0,0,0,0.2,3.8,0.3,0.3,1.3,0.1,"Uusimaa"
"Kauniainen",8.1,7.9,39.3,1.7,5.7,1.7,29.8,2.5,0.1,0,0.6,0,0,0,0,0,0,0.1,1.8,0.2,0.1,0.4,0,"Uusimaa"
"Kerava",22.3,21.8,22.5,5.8,7.5,8.2,1.4,3.8,0.1,0,0.7,0.1,0.1,0.1,0,0,0.1,0.1,3.9,0.3,0.4,0.8,0.1,"Uusimaa"
"Kirkkonummi",15,18.1,24.2,2.8,10.3,3.1,17.7,2.8,0.1,0.1,0.6,0,0.2,0,0,0,0,0.2,3.3,0.2,0.2,0.9,0.1,"Uusimaa"
"Lapinjärvi",12.3,20.3,13.8,11.8,4.2,1.9,27.6,2.5,0,0.1,0.4,0.3,0.4,0,0,0,0,0.1,2.8,0.7,0.1,0.7,0.1,"Uusimaa"
"Loviisa",17.4,15.1,9.7,3.2,2.9,3.4,40.8,1.8,0,0,0.3,0.1,0.2,0,0,0,0,0.1,3.4,0.3,0.2,1,0,"Uusimaa"
"Lohja",25,22.8,18.5,7.1,4.6,5.5,3.1,6.3,0,0,0.4,0.1,0.2,0,0,0,0,0.2,4,0.3,0.3,1.2,0.1,"Uusimaa"
"Myrskylä",12.9,25.9,29.1,12.3,2.9,2.1,6.9,2.7,0.1,0,0.1,0,0.1,0,0,0,0,0.1,2.6,0.5,0.5,1.1,0,"Uusimaa"
"Mäntsälä",18.6,30.2,20.6,11.9,3.9,3.2,1.1,3.8,0.1,0.1,0.4,0,0.2,0,0,0,0,0.1,3.9,0.3,0.4,1.2,0.1,"Uusimaa"
"Nurmijärvi",17.3,25.2,25.9,9.4,5.6,2.9,1.4,4.3,0.1,0.1,0.5,0,0.1,0,0,0,0.1,0.2,4.9,0.3,0.4,1.1,0.1,"Uusimaa"
"Pornainen",19,32.6,17.3,12.6,3.7,2.7,1.5,3.2,0.1,0,0.4,0,0.2,0,0,0,0.1,0.1,4.8,0.3,0.4,1,0,"Uusimaa"
"Pukkila",12.3,31.3,18.6,22.1,3.6,2.3,1.1,1.6,0,0.2,0.2,0.3,0.2,0.1,0,0,0,0,4.2,0.6,0,1.3,0,"Uusimaa"
"Porvoo",19.7,14.5,18.3,3.7,5.2,4.8,24.7,2.5,0.1,0.1,0.4,0.1,0.2,0,0,0,0,0.2,4.3,0.2,0.2,0.8,0,"Uusimaa"
"Raasepori",25.9,7.8,6.5,1.2,3.6,3.3,45.8,1.3,0,0.1,0.2,0.1,0.1,0.1,0,0,0,0.1,2.5,0.2,0.3,0.9,0.1,"Uusimaa"
"Sipoo",12.4,15.8,26.9,3.3,5.9,2.8,21.8,2.8,0.1,0.1,0.4,0.1,0.1,0,0,0,0,0.2,5.6,0.2,0.2,1.1,0,"Uusimaa"
"Siuntio",15.5,18.8,16.9,3.8,5.5,2.8,28.2,2.4,0.1,0,0.5,0,0.1,0,0,0,0,0,4,0.2,0.3,0.8,0.1,"Uusimaa"
"Tuusula",17.4,24.7,25,11.2,5.4,3.8,1.4,3.9,0.1,0.1,0.6,0.1,0.1,0,0,0,0.1,0.1,4.3,0.3,0.4,1,0.1,"Uusimaa"
"Vihti",20.5,24.2,22.3,10.3,5.1,4.1,2,4.8,0.1,0.1,0.5,0.1,0.1,0.1,0,0,0.1,0.2,4.1,0.3,0.3,0.9,0.1,"Uusimaa"
"Aura",14.3,29.3,22.3,14.1,3.2,8.1,0.6,3.8,0,0,0.2,0,0.1,0,0,0,0,0.2,2.7,0,0.2,0.9,0,"Varsinais-Suomi"
"Kaarina",18.5,19.2,28.9,4.4,8.6,9.4,3.7,3.3,0,0,0.3,0,0.1,0,0,0,0,0.2,2.3,0.1,0.3,0.7,0,"Varsinais-Suomi"
"Koski Tl",10.6,25.2,17.3,32.4,2.4,4.7,0.5,1.5,0,0,0.2,0,0.1,0,0,0,0,0,3.1,0.2,0.5,1.2,0,"Varsinais-Suomi"
"Kustavi",13,19.1,40.7,11.2,3.1,5.8,1.4,3.4,0,0,0,0.2,0,0,0,0,0,0.2,1.1,0.2,0,0.8,0,"Varsinais-Suomi"
"Kemiönsaari",13.1,9,6,4.2,2.4,9,52.8,1.2,0,0,0,0,0.1,0,0,0,0,0.1,1.1,0,0.3,0.6,0,"Varsinais-Suomi"
"Laitila",13.1,29.7,16,25.8,2.4,4.5,0.3,4.3,0,0,0.2,0,0.2,0,0,0,0,0.1,2.1,0.2,0.1,1,0,"Varsinais-Suomi"
"Lieto",16.1,23.9,26.2,10,6.7,8.2,1.3,3.6,0,0,0.4,0,0.1,0,0,0,0,0.1,2.5,0.1,0.1,0.7,0,"Varsinais-Suomi"
"Loimaa",14,25.6,18.4,22.2,2,9.7,0.3,3.1,0,0,0.3,0.2,0,0,0,0,0,0.1,2.1,0.1,0.3,1.5,0,"Varsinais-Suomi"
"Parainen",10.2,10.9,12.4,2.4,3.7,7.9,48,1.7,0,0,0.2,0,0.1,0,0,0,0,0.4,1.3,0,0.1,0.6,0,"Varsinais-Suomi"
"Marttila",8.5,31.8,19.8,25.6,2,5.1,0.5,2.6,0,0,0.4,0.1,0,0,0,0,0,0.1,2.3,0.1,0.3,0.7,0,"Varsinais-Suomi"
"Masku",15.3,28.3,24.7,8.6,6.3,6.5,0.9,5.1,0,0,0.3,0,0.1,0,0,0,0,0.1,2.5,0.1,0.2,0.8,0,"Varsinais-Suomi"
"Mynämäki",15.3,29,15.6,17.8,3.3,9.6,0.7,4.4,0,0,0.2,0.1,0.1,0,0,0,0,0.1,2.5,0.2,0.3,0.9,0,"Varsinais-Suomi"
"Naantali",16.1,21.7,35,7.7,5.3,7.1,1.4,2.5,0,0,0.3,0,0.2,0,0,0,0,0.1,1.4,0.1,0.2,0.9,0,"Varsinais-Suomi"
"Nousiainen",14.8,32,18.9,13.3,3.6,8.9,0.6,3.9,0,0,0.3,0,0,0,0,0,0,0,2.5,0.1,0.1,0.9,0,"Varsinais-Suomi"
"Oripää",9.4,28.3,14.6,31.9,1.5,6.2,1.2,3.1,0,0,0.1,0,0,0,0,0,0,0.3,1.2,0,0.6,1.5,0,"Varsinais-Suomi"
"Paimio",18.7,20.5,24.8,11.9,6.2,8.6,0.9,3.8,0,0,0.4,0,0.1,0,0,0,0,0.1,3.1,0.1,0.3,0.4,0,"Varsinais-Suomi"
"Pyhäranta",21.8,31.9,13.3,17.3,2.1,4.4,0.3,2.9,0,0,0.2,0.1,0,0,0,0,0,0.3,2.9,0.2,0.2,2.2,0,"Varsinais-Suomi"
"Pöytyä",11.5,30.8,22,20.5,2,6.2,0.4,2.7,0,0,0.3,0,0,0,0,0,0,0.1,2.1,0.1,0.3,0.9,0,"Varsinais-Suomi"
"Raisio",22.7,23.4,24.2,4.7,5.9,10.4,1.3,3.5,0,0,0.4,0,0.1,0,0,0,0,0.1,2.3,0.1,0.2,0.7,0,"Varsinais-Suomi"
"Rusko",16.6,26.2,24.2,11.1,4.6,8.2,1,3.5,0,0,0.4,0,0.1,0,0,0,0,0.2,3,0.1,0.2,0.8,0,"Varsinais-Suomi"
"Salo",24.1,24.6,19.7,11.6,3.8,7,1,2.7,0,0,0.4,0,0.1,0,0,0,0,0.1,3.7,0.1,0.2,0.8,0.1,"Varsinais-Suomi"
"Sauvo",14,24.8,20.5,19.2,5.3,7.7,1.5,3,0,0,0.5,0,0,0,0,0,0,0.1,2.9,0.1,0.1,0.5,0,"Varsinais-Suomi"
"Somero",12.8,31.8,11.9,30.5,2,4.7,0.3,2.2,0,0,0.2,0,0.1,0,0,0,0,0.1,1.8,0.1,0.3,1.1,0,"Varsinais-Suomi"
"Taivassalo",9.1,23,40.3,13.6,2,5.7,0.6,2.3,0,0,0.2,0,0,0,0,0,0,0,1.2,0.8,0.2,1.2,0,"Varsinais-Suomi"
"Turku",18.8,14.9,24.3,3.5,10.3,16.9,4.8,2.5,0,0,0.6,0,0.1,0,0,0,0,0.1,2.2,0.1,0.2,0.7,0,"Varsinais-Suomi"
"Uusikaupunki",23.1,26.4,15,20.4,2.1,6.4,0.6,2.2,0,0,0.3,0,0.1,0,0,0,0,0.2,1.8,0.2,0.2,1,0,"Varsinais-Suomi"
"Vehmaa",12.6,26.2,21.8,15.7,2.6,8.1,0.7,1.7,0,0,0.3,0.1,0.1,0,0,0,0,0.1,9.3,0.1,0.1,0.7,0,"Varsinais-Suomi"
"Eura",27.2,24,11.1,22.8,1.4,7.6,0.2,2.9,0.1,0,0,0,0,0,0,0,0,0,0.9,0,0.2,1.5,0,"Satakunta"
"Eurajoki",24.1,22.5,17.3,23.1,1.8,4.3,0.3,3.4,0,0,0,0,0,0,0,0,0,0,1.3,0,0.3,1.4,0,"Satakunta"
"Harjavalta",31.6,24.5,14.5,10.7,1.7,10.6,0.1,3.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0.3,1.7,0,"Satakunta"
"Huittinen",13.6,36.9,12.4,24.7,1.5,4.6,0.2,2.9,0,0,0,0,0,0,0,0,0,0,1.7,0,0.1,1.3,0,"Satakunta"
"Jämijärvi",16.8,36.2,4.7,31.7,0.5,2.5,0,6.3,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.8,0,"Satakunta"
"Kankaanpää",18.6,39.5,6,25.5,1.4,4.3,0.1,3,0,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0.7,0,"Satakunta"
"Karvia",10,39.5,6.3,38.1,0.4,1.7,0.7,1.8,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0.1,0.6,0,"Satakunta"
"Kokemäki",19.9,32.1,12.5,21,1.2,7.7,0.3,2.6,0.1,0,0,0,0,0.1,0,0,0,0,1,0,0.1,1.4,0,"Satakunta"
"Merikarvia",18.9,36.9,8.8,25.4,1.3,4.3,0.2,1.8,0,0,0,0,0,0.2,0,0,0,0,0.7,0,0.3,1.3,0,"Satakunta"
"Nakkila",21.2,24.9,15.1,17.1,1.5,13.6,0.4,3,0.1,0,0,0,0,0,0,0,0,0,1.3,0,0.3,1.6,0,"Satakunta"
"Pomarkku",17.5,36,10.9,22.2,0.9,5.6,0.3,3.9,0,0,0,0,0,0,0,0,0,0,1.1,0,0.1,1.5,0,"Satakunta"
"Pori",23.6,25.4,19.8,7.6,3.7,11.5,0.4,3.6,0.1,0,0,0,0,0,0,0,0,0,2.6,0,0.2,1.3,0,"Satakunta"
"Rauma",34.3,20.6,21.9,9,3.3,5.2,0.4,2.7,0,0,0,0,0,0,0,0,0,0,1.3,0,0.2,1,0,"Satakunta"
"Siikainen",17.3,36.5,5,32.2,0.7,3.8,0,3.8,0.1,0,0,0,0,0,0,0,0,0,0.3,0,0.4,0.1,0,"Satakunta"
"Säkylä",21.8,25.9,15.4,26.2,2,4.7,0.3,1.7,0,0,0,0,0,0.1,0,0,0,0,0.8,0,0.1,1,0,"Satakunta"
"Ulvila",24.5,27.1,18,11.5,2.2,9.3,0.2,3.7,0,0,0,0,0,0.1,0,0,0,0,2.1,0,0.2,1.3,0,"Satakunta"
"Asikkala",14.1,24.9,20.6,22.8,3.4,3.8,0.1,7,0,0,0.1,0,0.1,0.3,0,0,0,0.2,1.7,0,0.2,0.5,0,"Häme"
"Forssa",29.3,24.2,18.5,10.8,3.3,6.8,0.2,3.8,0,0,0.2,0.1,0.2,0.2,0,0,0,0.1,1.6,0,0.3,0.5,0,"Häme"
"Hartola",18.3,26.2,17.6,23.7,1.9,2.9,0.1,5.6,0,0,0.2,0,0,0.2,0,0,0,0.5,1,0,0.7,1.2,0,"Häme"
"Hattula",21.9,26.3,23.2,8.4,4.6,4.6,0.2,5.1,0,0,0.5,0,0.2,0.2,0,0,0,0.1,3.8,0,0.3,0.7,0,"Häme"
"Hausjärvi",19.9,28.1,18.8,9.8,3.1,6.3,0.1,6.7,0,0,0.3,0.1,0.2,0.3,0,0,0,0.5,4.7,0,0.4,0.6,0,"Häme"
"Hollola",18.3,25.6,26.2,10.4,4.7,3.9,0.2,6.5,0.1,0,0.3,0,0.1,0.3,0,0,0,0.3,2.2,0,0.3,0.7,0,"Häme"
"Humppila",20.4,31.5,13.4,18.5,2.5,6,0,4.5,0,0,0.2,0,0.1,0.5,0,0,0,0.2,1.4,0,0.2,0.6,0,"Häme"
"Hämeenlinna",24.4,22.5,23.3,6.4,6.3,5.7,0.3,5.3,0,0,0.5,0,0.2,0.2,0,0,0,0.3,3.7,0,0.2,0.7,0,"Häme"
"Heinola",31.6,25.2,19.6,7.7,2.5,3.3,0.2,6.4,0,0,0.2,0,0.1,0.3,0,0,0,0.3,1.7,0,0.2,0.5,0,"Häme"
"Janakkala",24.6,25,18.3,10.1,4.8,5.5,0.2,5.3,0.1,0,0.4,0,0.2,0.2,0,0,0,0.4,3.7,0,0.4,0.9,0,"Häme"
"Jokioinen",17.6,33.2,12.7,16.1,2.9,11.5,0.1,2.8,0.1,0,0.2,0.1,0.2,0.2,0,0,0,0.1,1.6,0,0.2,0.5,0,"Häme"
"Kärkölä",22.1,29.2,22.9,10.1,2,4.6,0.6,3.5,0,0,0.2,0,0.4,0.6,0,0,0,0.3,2.4,0,0.4,0.7,0,"Häme"
"Lahti",25.5,23.2,22.6,5.2,5.4,6.2,0.4,5.9,0,0,0.5,0.1,0.3,0.4,0,0,0,0.2,3.2,0,0.2,0.8,0,"Häme"
"Loppi",16.6,23.5,24,14.4,2.8,6.8,0.2,3.3,0.1,0,0.2,0.1,0.2,0.2,0,0,0,0.2,6.4,0,0.3,0.8,0,"Häme"
"Orimattila",18.3,33.4,18.3,11.9,4.8,3.5,0.2,4.5,0.1,0,0.3,0.1,0.2,0.3,0,0,0,0.2,2.7,0,0.4,0.9,0,"Häme"
"Padasjoki",23.4,25.2,20.2,14,1.9,3.2,0.2,7.8,0,0,0.2,0.1,0.3,0.5,0,0,0,0.2,1.6,0,0.4,0.7,0,"Häme"
"Riihimäki",23.9,22,19.5,3.6,5,11.3,0.4,6.9,0.1,0,0.4,0.1,0.2,0.3,0,0,0,0.3,5,0,0.4,0.5,0,"Häme"
"Sysmä",18.6,24.8,21.6,23.3,1.1,2.9,0.1,4.5,0,0,0.2,0,0,0.1,0,0,0,0.4,1.4,0,0.3,0.7,0,"Häme"
"Tammela",19.1,25.8,20.1,20.3,2.5,5,0.1,4.4,0,0,0.1,0.1,0.1,0.1,0,0,0,0.2,1.4,0,0.1,0.6,0,"Häme"
"Ypäjä",13.9,31.4,16.1,21.4,2.6,6.4,0.2,4.1,0,0,0.4,0,0.2,0.2,0,0,0,0.2,2,0,0.5,0.5,0,"Häme"
"Akaa",28.7,25.2,18.7,7.1,4.5,5.2,0.1,4.8,0.1,0,0.7,0.2,0.2,0.1,0,0,0,0.2,2.9,0.2,0.2,0.9,0,"Pirkanmaa"
"Hämeenkyrö",19.1,27.7,12.8,22.1,2.5,5.9,0.1,5.4,0,0,0.3,0.1,0.2,0,0,0,0,0.2,1.9,0.1,0.2,1.4,0,"Pirkanmaa"
"Ikaalinen",19.8,25.1,13.7,21.3,2,3.6,0.1,10.5,0.1,0,0.3,0.2,0.2,0,0,0,0,0.2,1,0.1,0.3,1.6,0.1,"Pirkanmaa"
"Juupajoki",23.6,27.3,12.4,22.4,2.8,3.9,0.2,4.6,0.1,0,0.2,0.2,0,0,0,0,0,0,1.5,0.2,0.1,0.6,0,"Pirkanmaa"
"Kangasala",24.3,21.6,24.5,6.5,5.7,4.4,0.2,7.4,0.1,0,0.4,0.1,0.1,0,0,0,0,0.2,3,0.1,0.2,1,0,"Pirkanmaa"
"Kihniö",8.8,51,3.8,12.5,0.7,1.7,0,19.3,0,0,0.1,0,0,0,0,0,0,0.2,1.2,0.2,0.2,0.4,0,"Pirkanmaa"
"Lempäälä",21.8,22,26,7.4,6.6,4.4,0.1,6.3,0.1,0,0.6,0.1,0.1,0,0,0,0,0.1,3.1,0,0.1,1,0,"Pirkanmaa"
"Mänttä-Vilppula",35.1,22.3,8.5,21.2,1.4,3.7,0,4.5,0.1,0,0.2,0.1,0.1,0,0,0,0,0.2,1.3,0.1,0.2,0.8,0,"Pirkanmaa"
"Nokia",25.6,23.3,19.7,4.7,5.2,11.2,0.3,4.4,0.1,0,0.5,0.2,0.3,0,0,0,0,0.2,3,0.2,0.2,1,0,"Pirkanmaa"
"Orivesi",22.6,25.9,16.3,14.8,3.1,6.1,0.1,6.5,0,0,0.3,0.1,0.2,0,0,0,0,0.2,2,0.5,0.1,1.1,0,"Pirkanmaa"
"Parkano",12.8,26.6,7.1,9.8,0.8,2,0,37.6,0.1,0.1,0.1,0.1,0.2,0,0,0,0,0.2,0.6,0.1,0.3,1.7,0,"Pirkanmaa"
"Pirkkala",25.8,18.4,29,4.4,7.1,3.3,0.3,6.1,0.1,0,0.6,0,0.1,0,0,0,0,0.2,3.4,0.1,0,0.9,0,"Pirkanmaa"
"Punkalaidun",16.2,19.2,17,38.4,1.1,2.9,0.2,2.1,0,0,0.1,0.1,0.1,0,0,0,0,0.5,0.7,0.1,0.4,1,0,"Pirkanmaa"
"Pälkäne",21.6,23.9,24.3,11.9,3.4,3.9,0.1,5,0.1,0,0.3,0.1,0.2,0.1,0,0,0,0.2,3,0.2,0.3,1.3,0.1,"Pirkanmaa"
"Ruovesi",21.7,25,14.3,23.4,1.6,6.1,0.1,4.1,0.2,0,0.2,0.2,0.1,0,0,0,0,0.1,1.5,0.1,0,1.2,0.1,"Pirkanmaa"
"Sastamala",22.8,27.2,19.2,12.2,2.2,5.3,1.4,6.4,0.1,0,0.2,0.1,0.1,0,0,0,0,0.2,1.3,0.1,0.2,0.9,0,"Pirkanmaa"
"Tampere",27.6,15.8,22.9,3.6,11.1,8.5,0.3,4.4,0.2,0.1,0.9,0.2,0.2,0,0,0,0,0.2,2.7,0.1,0.2,0.8,0,"Pirkanmaa"
"Urjala",21.4,31.5,14.8,19.3,2.4,3,0.2,3,0.3,0,0.2,0.2,0.2,0,0,0,0,0.2,1.8,0.1,0.1,1.2,0,"Pirkanmaa"
"Valkeakoski",33.1,21.3,23.8,5.5,2.7,5.9,0.1,3.3,0.1,0,0.5,0.3,0.1,0,0,0,0,0.1,1.8,0.2,0.2,0.9,0,"Pirkanmaa"
"Vesilahti",18.2,23.7,20.9,16.8,4.5,3.2,0.3,6.4,0.1,0,0.4,0.1,0.2,0,0,0,0,0.3,2.8,0.2,0.2,1.6,0,"Pirkanmaa"
"Virrat",21.2,24,10.6,25.4,1.5,5.2,0.1,9.6,0,0,0.2,0.1,0.1,0,0,0,0,0.2,1.1,0.1,0.2,0.5,0,"Pirkanmaa"
"Ylöjärvi",23.2,27.8,20.4,8.3,4.7,4.8,0.2,5.1,0.1,0,0.3,0.1,0.2,0,0,0.1,0,0.2,3.2,0.1,0.2,1.1,0,"Pirkanmaa"
"Enonkoski",24.3,14.1,9.2,31.8,1.5,2.4,0.3,4.9,0,0,0,0,0,0,0,0,0,0.1,9.3,0,0.9,1.2,0,"Kaakkois-Suomi"
"Hamina",23.7,30.5,21.3,9,4.4,2.4,0.2,2.7,0,0,0.2,0.1,0,0,0,0,0.1,0.1,4.3,0,0.4,0.7,0,"Kaakkois-Suomi"
"Heinävesi",21.5,21.4,12.4,27.8,3,2.8,0.1,8.2,0,0,0.2,0.1,0.1,0,0,0,0,0.2,1.5,0,0.3,0.5,0,"Kaakkois-Suomi"
"Hirvensalmi",14.4,21.6,22.8,29.8,2.4,0.8,0,1.4,0,0,0.1,0.2,0,0,0,0,2.2,0.6,2.3,0,0.6,0.7,0,"Kaakkois-Suomi"
"Iitti",26.6,24,14.5,23.4,2.5,2.6,0.2,2.3,0,0,0.2,0.1,0.1,0.4,0,0,0,0.2,1.7,0,0.5,0.6,0,"Kaakkois-Suomi"
"Imatra",37.7,25.9,17.6,5.6,4.5,2.5,0.1,2.6,0,0,0.2,0.1,0,0,0,0,0.2,0.2,1.9,0,0.4,0.7,0,"Kaakkois-Suomi"
"Joroinen",26.8,22.1,14.4,20.4,1.6,2.6,0.1,9.5,0.3,0,0,0,0.1,0,0,0,0,0.2,1.3,0,0.2,0.4,0,"Kaakkois-Suomi"
"Juva",13.6,17.5,18.6,37.1,2.9,1,0.2,5.8,0,0,0.2,0.1,0,0,0,0,0.1,0.2,2,0,0.5,0.4,0,"Kaakkois-Suomi"
"Kangasniemi",30.2,17.5,13.9,27.4,2.5,1.3,0.1,3.9,0,0,0.1,0.1,0,0,0,0,0.1,0.2,1.5,0,0.6,0.8,0,"Kaakkois-Suomi"
"Kotka",28.4,25,22.7,2.9,4.7,8.4,0.7,3.3,0,0,0.3,0.3,0,0,0,0,0.1,0.1,1.8,0,0.5,1,0,"Kaakkois-Suomi"
"Kouvola",23,24.6,25.2,10.7,4.6,4.3,0.1,3.4,0,0,0.3,0.1,0,0,0,0,0.1,0.2,1.9,0,0.5,1.1,0,"Kaakkois-Suomi"
"Lappeenranta",24,20.7,24.5,11.7,8.2,3.9,0.1,3.1,0,0,0.4,0.1,0,0,0,0,0.1,0.2,1.9,0,0.5,0.7,0,"Kaakkois-Suomi"
"Lemi",15.4,27.9,18.4,25.8,4.7,1.5,0,2.6,0,0,0.2,0.1,0,0,0,0,0.1,0.2,2.2,0,0.4,0.5,0,"Kaakkois-Suomi"
"Luumäki",17,24.1,22.7,24.4,2.8,1.4,0.1,4.2,0,0,0.3,0.1,0,0,0,0,0.1,0.4,1.7,0,0.2,0.4,0,"Kaakkois-Suomi"
"Miehikkälä",7.3,39.4,14.1,29.5,1.9,0.9,0.1,3.8,0,0,0.6,0,0,0,0,0,0,0.3,1.1,0,0.8,0.2,0,"Kaakkois-Suomi"
"Mikkeli",18.9,21.7,27.4,16.5,5.9,1.7,0.1,3.3,0,0,0.2,0.1,0,0,0,0,0.1,0.2,2.7,0,0.7,0.5,0,"Kaakkois-Suomi"
"Mäntyharju",16.2,25.8,29,18.1,2.7,1.8,0.1,3.2,0,0,0.1,0.3,0,0,0,0,0.2,0.1,1.6,0,0.4,0.6,0,"Kaakkois-Suomi"
"Parikkala",16.9,22.6,12.6,33.4,2.4,1.8,0,5.4,0,0,0,0,0,0,0,0,0,0.4,3.1,0,0.5,0.9,0,"Kaakkois-Suomi"
"Pertunmaa",11.5,22.9,24.3,30.3,2.7,2.1,0.1,3.9,0,0,0,0.1,0,0,0,0,0,0.2,0.6,0,0.2,0.9,0,"Kaakkois-Suomi"
"Pieksämäki",21,21.5,16.7,18.4,7.1,5.9,0.1,5.2,0,0,0.1,0.1,0,0,0,0,0.2,0.5,2.4,0,0.3,0.6,0,"Kaakkois-Suomi"
"Puumala",15.8,21.4,17.8,31.5,3.4,1.5,0.1,5.1,0,0,0.1,0.2,0,0,0,0,0.1,0.3,1.7,0,0.4,0.3,0,"Kaakkois-Suomi"
"Pyhtää",21.7,23.9,26.2,12.3,3.5,3.8,2.4,2.6,0,0,0.1,0.1,0,0,0,0,0.1,0.2,1.5,0,0.5,1.2,0,"Kaakkois-Suomi"
"Rantasalmi",19.7,17.2,13.2,35.5,2.5,2.9,0.1,2.9,0,0,0.1,0.1,0,0,0,0,0,0.1,5,0,0.2,0.6,0,"Kaakkois-Suomi"
"Rautjärvi",38.1,22.1,9.4,20.6,1.7,2.2,0,3.4,0,0,0,0.1,0,0,0,0,0,0.2,1.2,0,0.6,0.6,0,"Kaakkois-Suomi"
"Ruokolahti",25.6,25.8,16.3,19.8,2.6,2.4,0.1,3.6,0,0,0.1,0,0,0,0,0,0.1,0.2,2.5,0,0.2,0.7,0,"Kaakkois-Suomi"
"Savitaipale",15.8,21.5,21.4,27.9,4.6,1.1,0.1,4.6,0,0,0.2,0,0,0,0,0,0.2,0.2,1.6,0,0.2,0.8,0,"Kaakkois-Suomi"
"Savonlinna",25.1,14.4,10.5,17.3,3.4,3.5,0.1,5.2,0,0,0.1,0.1,0,0,0,0,0.1,0.2,18.8,0,0.9,0.4,0,"Kaakkois-Suomi"
"Sulkava",18,13.1,31.7,26.3,1.5,1.8,0.2,3.1,0,0,0.2,0.1,0,0,0,0,0,0,3.3,0,0.4,0.4,0,"Kaakkois-Suomi"
"Taipalsaari",19.8,22.8,23.4,16.2,7.2,1.3,0.2,4.7,0,0,0.1,0.1,0,0,0,0,0.1,0.3,2.6,0,0.4,0.7,0,"Kaakkois-Suomi"
