"Alue","SDP","PS","KOK","KESK","VIHR","VAS","RKP","KD","PIR","FP","LIBE","SKP","EOP","SKE","AP","KaL","KL","KRIP","LIIKE","SML","VKK","VL","Muut","Vaalipiiri"
"Virolahti",13.6,38.9,14.7,23,3.3,2.2,0.3,1.6,0,0,0.2,0.1,0,0,0,0,0,0.1,1.1,0,0.3,0.6,0,"Kaakkois-Suomi"
"Iisalmi",14.3,23.4,15.9,17.1,2.8,5.9,0,17.5,0.1,0,0.2,0,0.1,0,0,0,0,0.2,1.5,0,0.2,0.6,0,"Savo-Karjala"
"Ilomantsi",30.2,17.8,4.1,36.1,1.6,3.3,0,4.7,0,0,0.1,0.2,0.1,0,0,0,0,0.1,0.8,0,0,0.9,0,"Savo-Karjala"
"Joensuu",24.1,17.5,15.1,16.3,9,6.5,0.1,7,0.3,0,0.2,0.2,0.2,0,0,0,0,0.2,2.4,0,0.3,0.7,0,"Savo-Karjala"
"Juuka",20.2,23.5,6.8,31.3,2.1,1.6,0,12.2,0,0,0.1,0.2,0.2,0,0,0,0,0.1,0.6,0,0.3,0.6,0,"Savo-Karjala"
"Kaavi",14.8,29.8,7.9,26.3,1.7,5.6,0,11.7,0,0,0,0,0,0,0,0,0,0.3,0.5,0,0.4,0.9,0,"Savo-Karjala"
"Keitele",14.9,23.1,9.1,28.2,3.1,4.3,0.1,15.2,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0.9,0,0.2,0.7,0,"Savo-Karjala"
"Kitee",19.7,21.8,10.9,28.3,2.8,1.7,0,10.2,0.1,0,0.1,0,0.3,0,0,0,0,0.2,3,0,0.2,0.7,0.1,"Savo-Karjala"
"Kiuruvesi",4.5,21.8,6,40.9,1.3,9.6,0,9.5,0.1,0,0,0.1,0.1,0,0,0,0,0.4,4.7,0,0.2,0.6,0,"Savo-Karjala"
"Kontiolahti",21.9,24.8,13.6,20.7,5.3,2.4,0,7.5,0.1,0,0.2,0.1,0.1,0,0,0,0,0.1,2.3,0,0.2,0.8,0,"Savo-Karjala"
"Kuopio",17,17.6,24.1,12.7,8.3,6.4,0.1,9.6,0.2,0,0.3,0.1,0.2,0,0,0,0,0.1,2.4,0,0.1,0.7,0,"Savo-Karjala"
"Outokumpu",19.6,23.1,6.5,32.2,2.6,6.3,0,6.8,0.1,0,0.2,0.1,0.1,0,0,0,0,0,1.1,0,0.3,1,0,"Savo-Karjala"
"Lapinlahti",9.3,29.2,8.7,21.3,2.2,4.4,0.1,21.8,0,0,0.3,0,0.1,0,0,0,0,0.2,1.7,0,0.1,0.5,0,"Savo-Karjala"
"Leppävirta",16.3,17.9,12.2,36.1,1.9,4.8,0,8.1,0,0,0.2,0.1,0.2,0,0,0,0,0.1,1.2,0,0.2,0.7,0,"Savo-Karjala"
"Lieksa",19.8,18,6.1,44.4,2.5,2.2,0,4.8,0.1,0,0.1,0.1,0.1,0,0,0,0,0,1,0,0.2,0.5,0,"Savo-Karjala"
"Liperi",21.1,22.7,12.7,24,3.3,2,0,9.9,0.2,0,0.1,0,0.1,0,0,0,0,0.1,2.4,0,0.2,1.1,0,"Savo-Karjala"
"Nurmes",18.4,27.6,5.3,27.8,2.8,3.4,0,11.1,0.1,0,0.1,0,0.1,0,0,0,0,0.2,1.2,0,0.1,1.4,0.4,"Savo-Karjala"
"Pielavesi",10.3,22.8,7.6,37.8,1.3,6.8,0.1,10.3,0,0,0.3,0,0.1,0,0,0,0,0.2,1.1,0,0.3,1.2,0,"Savo-Karjala"
"Polvijärvi",18,26.7,5.8,34,1.9,2.1,0,8.9,0,0,0.2,0,0.1,0,0,0,0,0.1,0.9,0,0.1,1.1,0,"Savo-Karjala"
"Rautalampi",14.5,19.6,13.8,23.9,6.7,4.3,0.1,14.1,0.1,0,0.3,0.1,0.2,0,0,0,0,0.1,1.3,0,0.2,0.7,0.1,"Savo-Karjala"
"Rautavaara",13.9,27,6.7,22.4,1.6,10.9,0.1,15.7,0.1,0,0,0.1,0,0,0,0,0,0,1.2,0,0,0.3,0,"Savo-Karjala"
"Rääkkylä",12,21.7,17.8,31.6,2.5,2.3,0,9.3,0,0,0.1,0.1,0.2,0,0,0,0,0.3,0.5,0,0,1.7,0,"Savo-Karjala"
"Siilinjärvi",15.4,21.5,19.9,19.3,4.7,4.1,0.1,10.8,0.1,0,0.1,0.1,0.1,0,0,0,0,0.2,2.8,0,0.1,0.9,0,"Savo-Karjala"
"Sonkajärvi",10.1,32.5,8.4,25.8,1.2,4.7,0,15.6,0,0,0,0.1,0,0,0,0,0,0.2,0.9,0,0,0.3,0,"Savo-Karjala"
"Suonenjoki",13.7,23.7,13.6,22.6,2.9,5.3,0.1,14.1,0.2,0,0.2,0.1,0.1,0,0,0,0,0.1,2.2,0,0.3,0.6,0,"Savo-Karjala"
"Tervo",13.6,22.8,10.5,33,2.4,3,0,9.8,0.2,0,0.9,0.1,0.1,0,0,0,0,0.1,1.7,0,0.1,1.6,0,"Savo-Karjala"
"Tohmajärvi",20.6,21.8,9.7,30.1,2.2,2.1,0,8.8,0,0,0.1,0.3,0.2,0,0,0,0,0.3,2.3,0,0.5,1,0.1,"Savo-Karjala"
"Tuusniemi",9.9,23.8,10,25,2.3,15.8,0,10.2,0.1,0,0.3,0.2,0.1,0,0,0,0,0.2,0.8,0,0.3,1,0,"Savo-Karjala"
"Varkaus",37.1,16.6,19.5,7.5,2.2,7.1,0,7.7,0.1,0,0.1,0,0.1,0,0,0,0,0.1,1,0,0.3,0.6,0,"Savo-Karjala"
"Vesanto",15.2,20.6,11.2,33.2,1.6,3.7,0,11.8,0.1,0,0.1,0,0.3,0,0,0,0,0.1,1.4,0,0.3,0.4,0,"Savo-Karjala"
"Vieremä",8,23.2,8.2,26.7,1.8,4.4,0,25.4,0,0,0.1,0,0.1,0,0,0,0,0.3,1.4,0,0.2,0.3,0,"Savo-Karjala"
"Alajärvi",4.5,23.8,17.6,37.2,2.3,0.9,0.4,10.4,0,0,0.1,0,0,0,0,0,0,0.1,0.6,0,0.2,1.8,0,"Vaasa"
"Alavus",7.5,34.4,10.6,34.2,1.7,1.5,0.3,6.2,0,0,0.1,0,0,0,0,0,0,0.1,1.4,0,0.1,1.8,0,"Vaasa"
"Evijärvi",6,28.3,11.8,40.9,1,1.7,0.7,7.2,0,0,0,0,0,0,0,0,0,0,1,0,0.1,1.3,0,"Vaasa"
"Halsua",2.7,25.9,3.5,52.3,0.7,0.5,1,12.5,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0,0.5,0,"Vaasa"
"Ilmajoki",9.4,33.5,18.6,25.2,2.3,1.4,0.4,5.3,0,0,0.2,0,0,0,0,0,0,0,1.5,0,0.1,1.9,0,"Vaasa"
"Isojoki",7.7,35.2,14,34.7,0.9,1.3,0.7,2.9,0,0,0,0,0,0,0,0,0,0,1.3,0,0.1,1.3,0,"Vaasa"
"Isokyrö",10.9,28.1,19.2,28.3,1.4,1.7,0.8,5.5,0,0,0.1,0,0,0,0,0,0,0,2.1,0,0.5,1.3,0,"Vaasa"
"Kannus",10.2,26.8,12.6,38,1.5,1.8,0.6,6.2,0,0,0.1,0,0,0,0,0,0,0,0.8,0,0.1,1.1,0,"Vaasa"
"Karijoki",5.2,53.2,9.3,25.2,1,0.5,1.5,2.2,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0.2,1.1,0,"Vaasa"
"Kaskinen",22.4,18.8,16.5,4,1.9,6.7,25.2,1.9,0,0,0.1,0.3,0,0,0,0,0,0.1,1,0,0.1,1,0,"Vaasa"
"Kauhajoki",6.2,34,14.9,35.7,1.6,1.8,0.5,2.1,0,0,0.1,0.1,0,0,0,0,0,0.1,1.2,0,0.2,1.5,0,"Vaasa"
"Kauhava",5.8,30.1,18,32.3,0.9,1,0.5,6.9,0,0,0.1,0.1,0,0,0,0,0,0.1,1.5,0,0.2,2.5,0,"Vaasa"
"Kaustinen",8.2,30.1,8.2,40.5,1.5,1.1,1.3,5.4,0,0,0.6,0,0,0,0,0,0,0.2,1.7,0,0.1,1,0,"Vaasa"
"Kokkola",18.1,20.9,14.2,19.9,2.9,3.7,7.6,9.3,0,0,0.3,0,0,0,0,0,0,0.1,1.1,0,0.3,1.7,0,"Vaasa"
"Korsnäs",5.9,1.8,0.4,0.1,0.4,0.6,87.9,2,0,0,0.1,0,0,0,0,0,0,0,0.4,0,0,0.5,0,"Vaasa"
"Kristiinankaupunki",8.7,13.8,7.9,7.5,1.4,1.5,53.4,3.4,0,0,0.2,0,0,0,0,0,0,0,1,0,0.2,1.1,0,"Vaasa"
"Kruunupyy",5.5,7.9,9.6,4.2,1.1,0.9,60,8.7,0,0,0.1,0.1,0,0,0,0,0,0,0.7,0,0.3,0.9,0,"Vaasa"
"Kuortane",5,26.1,25.9,31.6,2,0.6,0.4,4.8,0,0,0,0,0,0,0,0,0,0.3,1.9,0,0.1,1.2,0,"Vaasa"
"Kurikka",9.2,34.4,18.3,27.4,2,2.5,0.4,3.2,0,0,0.1,0.1,0,0,0,0,0,0,1.1,0,0.2,1.2,0,"Vaasa"
"Laihia",12.3,34.4,18.4,18.7,2.1,3.7,2,4.2,0,0,0.2,0.1,0,0,0,0,0,0.1,1.8,0,0.2,2,0,"Vaasa"
"Lappajärvi",6.5,23.8,16.8,41.2,1.7,1.3,0.4,5.6,0,0,0.1,0,0,0,0,0,0,0.1,1.1,0,0.2,1.2,0,"Vaasa"
"Lapua",8,27.9,28.5,24.5,1.5,1.3,0.4,4.5,0,0,0.1,0,0,0,0,0,0,0.1,1.3,0,0.2,1.8,0,"Vaasa"
"Lestijärvi",8.5,18.6,2.8,53.8,2.6,6.6,0.5,5.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0.7,0,"Vaasa"
"Luoto",7.2,4.4,1.6,0.5,1,0.7,31.2,51.3,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0.1,1.3,0,"Vaasa"
"Maalahti",7.5,3.4,1.3,0.9,1,0.6,81.7,2.2,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0.4,0.6,0,"Vaasa"
"Mustasaari",9.6,9,5.2,1.3,2.5,1.1,64.2,4.2,0,0,0.1,0,0,0,0,0,0,0.1,1.2,0,0.3,1.2,0,"Vaasa"
"Närpiö",7.8,2.6,0.7,0.6,0.6,0.6,82.6,3.2,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0.1,0.5,0,"Vaasa"
"Perho",16.6,31.1,7.5,33.2,0.3,1.4,0.4,5.6,0,0,0,0.1,0,0,0,0.1,0,0.1,0.6,0,0.1,2.9,0,"Vaasa"
"Pietarsaari",18.6,12.2,3.7,2.3,2.8,4.2,43.7,10.2,0,0,0.2,0.1,0,0,0,0,0,0.2,0.9,0,0.3,0.6,0,"Vaasa"
"Pedersören kunta",6.7,5.1,1.4,0.8,1.4,0.7,51,31.4,0,0,0.1,0,0,0,0,0,0,0,0.6,0,0.3,0.5,0,"Vaasa"
"Seinäjoki",11.2,23.8,23.6,22.3,4.1,2.8,0.6,5.6,0,0,0.2,0.1,0,0,0,0,0,0.1,3.1,0,0.2,2.2,0,"Vaasa"
"Soini",4.9,28.5,9.2,39.3,1.6,1.4,0.2,12.1,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0.5,1.6,0,"Vaasa"
"Teuva",7.2,30.8,18,27.6,0.8,6.1,0.7,5.5,0,0,0.1,0.4,0,0,0,0,0,0.1,1.1,0,0.2,1.4,0,"Vaasa"
"Toholampi",5.9,18.9,4.7,56.2,1,1.5,0.5,9.9,0,0,0,0,0,0,0,0,0,0,0.5,0,0.1,0.9,0,"Vaasa"
"Uusikaarlepyy",9,8.3,0.9,0.8,1.1,0.8,71.5,6.6,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.1,0.5,0,"Vaasa"
"Vaasa",19.3,18.7,14.9,4.3,5.5,3.8,25.8,3.8,0,0,0.4,0.1,0,0,0,0,0,0.1,2,0,0.3,1.1,0,"Vaasa"
"Veteli",7.9,29.2,8.2,40.8,0.9,0.9,0.7,7.8,0,0,0,0,0,0,0,0,0,0.1,1,0,0.3,2.1,0,"Vaasa"
"Vimpeli",6.9,19.4,34.6,21.8,1.3,6.3,0.7,6.8,0,0,0.1,0.1,0,0,0,0,0,0.1,0.4,0,0.2,1.5,0,"Vaasa"
"Vöyri",5,4.1,1.7,1.7,1.2,0.7,80.3,3.7,0,0,0.1,0,0,0,0,0,0,0.1,0.7,0,0.2,0.6,0,"Vaasa"
"Ähtäri",13,21.9,9.8,44.5,1.4,1.8,0.5,4,0,0,0.1,0,0,0,0,0,0,0.1,1.8,0,0,1.1,0,"Vaasa"
"Hankasalmi",18.3,25,9.1,31.9,2.6,5.6,0.1,4.2,0.2,0,0,0.2,0,0,0,0,0,0.1,1,0.2,0.5,0.9,0,"Keski-Suomi"
"Joutsa",15.9,30.2,13.4,24.8,3.6,2,0.2,7.7,0,0,0,0.2,0,0,0,0,0,0.2,1.1,0.1,0.2,0.4,0,"Keski-Suomi"
"Jyväskylä",22.7,17.1,19.5,12.5,11.3,8.3,0.1,5.1,0.2,0,0,0.2,0,0,0,0,0,0.1,1.7,0.2,0.4,0.8,0,"Keski-Suomi"
"Jämsä",31.7,27.8,14.7,12.3,2.8,4.1,0.1,3.8,0.1,0,0,0.1,0,0,0,0,0,0.2,0.9,0.2,0.4,1.1,0,"Keski-Suomi"
"Kannonkoski",22.8,24.7,11.8,33.4,2.1,1.8,0.1,1.8,0,0,0,0,0,0,0,0,0,0,0.3,0,0.4,0.7,0,"Keski-Suomi"
"Karstula",14.6,23.2,15.2,36.2,1.7,1.6,0.2,5.7,0,0,0,0.1,0,0,0,0,0,0.2,0.3,0.1,0.2,0.6,0,"Keski-Suomi"
"Keuruu",22,24.2,15.8,21.6,3.7,2.7,0.1,7.5,0.1,0,0,0.2,0,0,0,0,0,0.1,0.9,0.2,0.4,0.6,0,"Keski-Suomi"
"Kinnula",13.4,23,5.3,50.6,0.4,2,0.1,1.8,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.3,2.3,0,"Keski-Suomi"
"Kivijärvi",15.4,23.5,6.4,48.9,0.8,0.5,0.2,1.8,0,0,0,0,0,0,0,0,0,0.3,0.5,0,0.7,1,0,"Keski-Suomi"
"Konnevesi",16.9,24.1,11.3,31.9,2.4,4.8,0.1,6.1,0.1,0,0,0.1,0,0,0,0,0,0.1,1,0.1,0.3,0.9,0,"Keski-Suomi"
"Kuhmoinen",23.7,25.4,20.5,17.4,1.8,2.2,0.2,4.6,0.1,0,0.5,0.2,0.1,0.1,0,0,0,0.5,2.2,0.2,0,0.3,0.2,"Keski-Suomi"
"Kyyjärvi",8.9,23,7.9,49,0.6,1.2,0,8,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.9,0,"Keski-Suomi"
"Laukaa",22.3,26.4,13.5,20.9,3.6,4,0.1,6.2,0.1,0,0,0.1,0,0,0,0,0,0.1,1.2,0.2,0.4,1.1,0,"Keski-Suomi"
"Luhanka",14.3,28.1,17.5,29.4,0.9,2.2,0,6.3,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0.6,0,"Keski-Suomi"
"Multia",14.3,24.4,8.3,37.5,2.7,4.8,1.4,4.8,0.1,0,0,0,0,0,0,0,0,0,0.9,0,0.2,0.6,0,"Keski-Suomi"
"Muurame",23.5,18.5,24.9,15.3,5.8,3.9,0.1,5.1,0.1,0,0,0.2,0,0,0,0,0,0,1.2,0.1,0.3,0.9,0,"Keski-Suomi"
"Petäjävesi",24.8,25.2,10.1,20.6,5.1,3.2,0.3,7.6,0.1,0,0,0,0,0,0,0,0,0,1.5,0.1,0.2,1.1,0,"Keski-Suomi"
"Pihtipudas",18.7,19.5,4.7,47.6,1.4,2.5,0,3.5,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0.7,0.5,0,"Keski-Suomi"
"Saarijärvi",16.6,25.9,7.7,36.5,2.2,2.7,0.1,5.5,0.1,0,0,0.1,0,0,0,0,0,0.2,0.8,0.1,0.8,0.7,0,"Keski-Suomi"
"Toivakka",16.1,26.3,12.5,25.3,3.2,3,0.1,11,0,0,0,0.1,0,0,0,0,0,0,0.8,0,0.2,1.5,0,"Keski-Suomi"
"Uurainen",15.1,26.7,8,32.9,2.3,2.7,0.1,8.9,0.2,0,0,0,0,0,0,0,0,0.1,1.1,0.2,1,0.8,0,"Keski-Suomi"
"Viitasaari",31.2,20.5,7.9,24.6,2.3,4.2,0.1,6.7,0.1,0,0,0.1,0,0,0,0,0,0.1,0.7,0.1,0.7,0.7,0,"Keski-Suomi"
"Äänekoski",26.7,22.1,8.4,20.3,4.5,10.3,0.2,4.6,0.1,0,0,0.1,0,0,0,0,0,0.3,0.8,0.2,0.3,1,0,"Keski-Suomi"
"Alavieska",5.3,33.8,6,43,0.6,6.1,0.1,2.6,0,0,0.1,0,0,0,0,0,0,0.6,0.6,0,0.4,0.7,0,"Oulu"
"Haapajärvi",10.9,30.6,8.9,36.7,1.9,5.2,0.2,2.8,0,0,0.2,0,0,0,0,0,0,0.2,0.9,0,0.5,0.8,0,"Oulu"
"Haapavesi",7.1,29.3,4.4,45.1,1.6,6.8,0.1,1.9,0,0,0.1,0.1,0,0,0,0,0.5,0.1,0.8,0,0.1,2,0,"Oulu"
"Hailuoto",14,25.8,16.6,27,6.4,6.1,0.3,1.2,0,0,0,0.2,0,0,0,0,0,0.8,0.3,0,0,1.2,0,"Oulu"
"Hyrynsalmi",8.8,30.6,4.9,33.7,1.2,13.3,0.1,6.4,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0.1,0.4,0,"Oulu"
"Ii",13.4,30.4,11.4,26.5,2.9,11,0.1,1.7,0,0,0.2,0.1,0,0.1,0,0,0,0.2,0.8,0,0.3,0.8,0,"Oulu"
"Kajaani",16,27.6,12.8,19.3,5.5,12,0.1,4.1,0,0,0.3,0.2,0,0,0,0,0,0.3,0.7,0,0.5,0.7,0,"Oulu"
"Kalajoki",9.5,26.1,11,37.2,2.1,6.2,0.1,4.6,0,0,0.2,0.1,0,0,0,0,0,0.3,0.9,0,0.4,1.4,0,"Oulu"
"Kempele",15.2,24.8,20.2,24.6,3.6,5.7,0.2,2.3,0,0,0.3,0,0,0,0,0,0,0.2,1.1,0,0.4,1.5,0,"Oulu"
"Kuhmo",11.2,28.8,3.7,42.4,1.7,6.1,0,4.7,0,0,0.1,0.1,0,0,0,0,0.1,0.2,0.2,0,0.4,0.5,0,"Oulu"
"Kuusamo",12.1,23,10.5,39.5,7,3.5,0.1,1.2,0,0,0.2,0.1,0,0,0,0,0,0.3,1.6,0,0.2,0.7,0,"Oulu"
"Kärsämäki",7.8,32.2,3.4,47.7,0.9,3.1,0.1,2.3,0,0,0.1,0.1,0,0.1,0,0,0.1,0.1,0.7,0,0.5,0.8,0,"Oulu"
"Liminka",10.6,29.1,15.7,29.3,3.5,5.5,0.2,2.1,0,0,0.2,0,0,0,0,0,0,0.1,1.5,0,0.4,1.6,0,"Oulu"
"Lumijoki",7.9,31.2,9.3,35.6,1.8,8.6,0.1,2,0,0,0.1,0.1,0,0,0,0,0,0.1,0.9,0,0,2.1,0,"Oulu"
"Merijärvi",3.4,33.5,1.9,49.2,0.4,2.8,0,6,0,0,0.2,0,0,0,0,0,0,0.7,0.7,0,0.2,1.1,0,"Oulu"
"Muhos",10.9,35.9,9,26.3,3,9.3,0,1.7,0,0,0.2,0.1,0,0,0,0,0.1,0.2,0.8,0,0.5,2,0,"Oulu"
"Nivala",6.9,32.8,7.1,44.6,1.1,3.1,0.1,1.7,0,0,0.2,0.1,0,0,0,0,0.1,0.2,0.6,0,0.2,1.4,0,"Oulu"
"Oulainen",10.2,27,7.6,26.7,2.1,5.6,0.1,18.1,0,0,0.2,0.1,0,0,0,0,0,0.2,0.7,0,0.3,1.2,0,"Oulu"
"Oulu",16.9,22.1,20.6,16,7.7,11,0.3,1.8,0,0,0.8,0.1,0,0,0,0,0,0.3,1.3,0,0.2,0.9,0,"Oulu"
"Paltamo",9.8,25.8,12.1,30.3,2.7,11.8,0.1,5.4,0,0,0.3,0,0,0,0,0,0.1,0.1,0.4,0,0.5,0.4,0,"Oulu"
"Pudasjärvi",7.4,25.2,4.6,50.5,1.4,5.3,0.1,2,0,0,0.1,0.1,0,0,0,0,0,0.2,1.4,0,0.1,1.6,0,"Oulu"
"Puolanka",8.1,25.6,5.4,38,1.9,13.3,0.2,3.4,0,0,0.3,0.3,0,0.1,0,0,0,0.5,0.8,0,1.7,0.5,0,"Oulu"
"Pyhäjoki",10,26.6,5.7,39.9,2.4,8.5,0.2,2.4,0,0,0.3,0.1,0,0.1,0,0,0,0.1,0.7,0,0.1,3,0,"Oulu"
"Pyhäjärvi",8.5,28.3,4.2,28.7,1,23.1,0.5,3.8,0,0,0,0.1,0,0,0,0,0,0.1,0.5,0,0.2,0.9,0,"Oulu"
"Pyhäntä",7.6,32,7.2,40.8,1.7,5.3,0.1,2.3,0,0,0.1,0,0,0.2,0,0,0,0.1,0.7,0,0.2,1.6,0,"Oulu"
"Raahe",13.9,29.4,8.2,28.3,2.3,12,0.1,2.7,0,0,0.1,0.1,0,0,0,0,0.1,0.3,0.7,0,0.3,1.4,0,"Oulu"
"Reisjärvi",6,25.5,4.3,51.5,1,4.7,0.1,1.1,0,0,0.4,0.1,0,0.1,0,0,0.2,0.2,1.1,0,0.2,3.6,0,"Oulu"
"Ristijärvi",7.6,25.7,7.3,41.5,2.3,7.9,0.3,5.8,0,0,0,0.3,0,0.1,0,0,0.1,0.3,0.3,0,0.1,0.4,0,"Oulu"
"Sievi",4.7,38.9,5.5,37.3,1.4,4.4,0,2.6,0,0,0.1,0,0,0,0,0,0,0.3,2.6,0,0.4,1.8,0,"Oulu"
"Siikajoki",8.5,30.9,6.3,40.6,1.7,5.9,0.2,2.1,0,0,0,0.1,0,0,0,0,0,0.2,0.9,0,0.2,2.4,0,"Oulu"
"Sotkamo",8.4,23.9,15,27.4,2.8,9.5,0.1,10.7,0,0,0.2,0.1,0,0,0,0,0,0.2,0.5,0,0.3,0.9,0,"Oulu"
"Suomussalmi",5.7,24.5,7,35.6,1.4,19.6,0.1,3.2,0,0,0.5,0.1,0,0,0,0,0,0.2,1.3,0,0.2,0.7,0,"Oulu"
"Vaala",10.8,28.6,13.9,27.2,1.6,11,0.3,2.2,0,0,0.2,0,0,0,0,0,0.1,0.2,0.5,0,2.3,1,0,"Oulu"
"Siikalatva",8.9,31.5,4.4,43.2,1.2,6.6,0.2,1.6,0,0,0.2,0.2,0,0,0,0,0.1,0.2,0.5,0,0.3,1.2,0,"Oulu"
"Taivalkoski",16.6,28.7,5.9,38.6,1.8,3.9,0.1,1.4,0,0,0.2,0.2,0,0,0,0,0,0,0.9,0,0.7,0.7,0,"Oulu"
"Tyrnävä",8.9,30.7,14.4,32.2,2.2,6.1,0.1,2,0,0,0.3,0,0,0.1,0,0,0.1,0.2,0.4,0,0.4,1.8,0,"Oulu"
"Utajärvi",12.9,34,5.5,34.7,1.4,8.2,0,1.1,0,0,0.1,0,0,0,0,0,0.1,0.4,0.4,0,0.4,0.9,0,"Oulu"
"Ylivieska",11.2,26.7,17,31.1,2.6,4.6,0.1,2.7,0,0,0.4,0.1,0,0,0,0,0.1,0.3,1,0,0.4,1.6,0,"Oulu"
"Enontekiö",21.4,25.3,16.9,22.5,3.3,3.3,1.8,1.6,0,0,0,0.1,0,0,0,0,0,0,0.9,0,0.8,0.4,1.8,"Lappi"
"Inari",22.8,27.9,15.3,16.1,5.3,7.4,1.5,1.4,0,0,0.2,0.1,0,0,0.1,0,0,0,0.7,0,0.4,0.5,0.4,"Lappi"
"Kemi",27.2,26.3,8.9,14.4,1.4,18.1,0.1,0.7,0,0,0.1,0.4,0,0,0,0,0,0,0.4,0,0.3,0.9,0.8,"Lappi"
"Keminmaa",13.1,31.5,8,29.9,1.5,9,0,0.7,0,0,0.1,0,0,0,0,0,0,0,0.4,0,0.3,1.4,4.1,"Lappi"
"Kittilä",14.3,25.6,13.9,21.6,6,8.9,0.4,0.8,0,0,0.2,0.3,0,0,0,0,0,0,1.4,0,0.1,0.8,5.7,"Lappi"
"Kolari",13.7,17.9,8.1,22.7,7.4,15.3,0.3,0.7,0,0,0.2,0.4,0,0,0,0,0,0,1.2,0,0.3,1.4,10.4,"Lappi"
"Kemijärvi",13.2,28,8.7,34.5,1.7,10.9,0,1.4,0,0,0.1,0.2,0,0,0,0,0,0,0.4,0,0.3,0.4,0.4,"Lappi"
"Muonio",19.9,23.1,18.7,21.3,4.4,6.5,0.4,1.8,0,0,0.1,0.2,0,0,0.1,0,0,0,0.9,0,0.2,1.1,1.3,"Lappi"
"Pelkosenniemi",11.7,19.6,10.8,38.6,9.3,7.4,0,0.5,0,0,0,0,0,0,0,0,0,0,0.4,0,1.1,0.5,0.2,"Lappi"
"Posio",13.2,25.4,5.1,47.3,1.8,4.5,0.2,0.9,0,0,0.1,0.3,0,0,0,0,0,0,0.3,0,0.2,0.5,0.4,"Lappi"
"Ranua",9.4,27.9,10.3,45.8,0.9,1.8,0.2,0.8,0,0,0.1,0.1,0,0,0.1,0,0,0,0.4,0,0.1,1.2,1.1,"Lappi"
"Rovaniemi",21.1,26.1,16.6,18.5,5.3,8.4,0.2,1.3,0,0,0.3,0.1,0,0,0,0,0,0,0.8,0,0.4,0.6,0.4,"Lappi"
"Salla",11.8,24.3,6.9,41.5,1.7,10.6,0.1,1,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0.5,0.6,0.5,"Lappi"
"Savukoski",7.9,30.8,14.6,37.6,1.3,4.7,0.5,0.8,0,0,0.2,0.3,0,0,0,0,0,0,0.2,0,0,1,0.2,"Lappi"
"Simo",11.4,32,6.5,33.9,0.7,12.8,0.1,0.5,0,0,0.1,0.1,0,0,0.1,0,0,0,0.4,0,0.2,0.4,0.9,"Lappi"
"Sodankylä",13.9,27.8,9.9,34.2,2.2,6.2,0.2,1.2,0,0,0.1,0.1,0,0,0.1,0,0,0,0.6,0,0.2,0.4,2.8,"Lappi"
"Tervola",10.7,31.9,5.3,35,1.2,10.9,0.2,1.3,0,0,0.1,0.4,0,0,0,0,0,0,1.2,0,0.1,1.1,0.6,"Lappi"
"Tornio",14.1,30.1,9.7,33,1.7,7.9,0.2,1.1,0,0,0.1,0.2,0,0,0.1,0,0,0,0.6,0,0.2,0.8,0.4,"Lappi"
"Pello",10.3,18.5,8.6,30.8,0.9,28.9,0,0.8,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0.3,0.4,"Lappi"
"Utsjoki",28.5,19.5,11.4,14.7,5.4,5.3,11.1,2.6,0,0,0.1,0.3,0,0,0,0,0,0,0.3,0,0,0.6,0.1,"Lappi"
"Ylitornio",12.3,24.9,6.5,35.4,1,14.8,0.2,1,0,0,0.1,0.2,0,0,0,0,0,0,0.5,0,0.3,0.7,2,"Lappi"
